告警定义号,告警名称,告警层级,告警层级数字
733,CH1_MAIN_SUB,,
2025,TEMP_ABNORMAL,,
873,TRIB_OPM_LOW,,
855,T_LOF,,
1184,AIS3,,
1185,AIS4,,
1182,AIS1,,
1183,AIS2,,
1675,SM_BIP8_SES_LIMIT,OTU,3
1343,AIS.,,
1544,TCM4_TIM,ODUk,2
682,CKUFAIL,,
61033,MPLS-TP virtual path remote fault indication,,
1768,RS_LOC,,
77,DP,,
89,RS_LOF,ODUk,2
3319,SSF_O,OCH,4
3318,SSF_P,OCH,4
2441,ATUC_LOS_OVER_THRESHOLD,,
1251,FirstClockLoss,,
2794,V4_R_EXC,,
1271,LIS_R,,
91,RS_LOS,,
62085,DETECTION_OF_TCP_ACK_DOS_ATTACK,,
2777,BAT_OTA,,
2271,SLOT_UP,,
283,LDAUTOOFF,,
62064,Battery recharge Over Volt level,,
1530,TCM1_LINK_REQUEST,,
449,GTOUTB_FAIL,,
2782,MDFA,,
184,LISN,,
1859,CLIETNT_FEC_LOF,,
364,CRQOVF,,
889,GROUP_MS_RDI,,
1317,OTS1_IOP_HIGH,,
288,OBRIDGE,,
410,EDFA2_NO_OUTPUT,,
440,GLCD_FAIL,,
1037,CLIENT_GE_SD,,
1709,TCM1_BEI_UAS,,
60084,OPU_MSIM,ODUk,2
1754,UNM,,
1755,UNP,,
1597,AUTOALARM,,
1826,LCK_LOS,,
1842,TRIB_FEC_LOF,,
2451,TOO_MANY_TDM,,
908,RS_UAS,ODUk,2
2296,LINK_REMOTE_ALARM,,
44,LASER_CLS,,
1786,OTS_TIM,,
49,INV_CODE,,
3378,MODULE_MISMATCH,,
60101,POWERINTERRUPTION,,
1035,MID_IOP,,
1851,AGGR_OPU2_RS_SES_LIMIT,,
135,EYESAFE,OTS,6
2860,OMS_SSF_O,,
2861,OMS_SSF_P,,
3367,FLOW_EWR,,
1186,LOF_E1,,
62114,Link Fault,,
2458,Card LOS,,
1460,COMEBAK,,
2580,LOGIC_ID_CONFLICT,,
389,UPE,,
60130,OPTMODULE_FAIL,,
61028,The ODU2 connection is locked,,
2803,VPWS_NUM_LIMIT,,
2023,M_BSWITCHDIF,,
306,TR_OOF,,
1726,ODU3_LCK,ODUk,2
1906,DOP,,
2584,UPGRADE_FAILURE,,
248,OX_FAIL,,
1945,M_SMCFRDIF,,
2521,DOW,,
1295,-48V2ALM,,
2356,ACV_OVER,,
1997,E1_NOT_INSERT_SUCCEED,,
62014,LOAM_TW,,
1171,U_ROVF,,
636,OTN_LASER_TCT,,
1760,R_LIMIT,,
387,PLD_TCT,,
2295,LINK_OOF,,
3326,TCM5_EXC,,
2639,DOWN_BROARDCAST_FRAMES_OVER_THRESHOLD_WARNING,,
60111,FAN_STOP,,
1428,ROSW_W_P,,
1883,OA_TCT,,
1618,M_BFENBDIF,,
62081,DETECTION_OF_BCA_ARP_DOS_ATTACK,,
1795,VS_MMG,,
724,SW_FAIL.,,
3353,SPANLOSS_WARNING,,
122,AU_AIS,CLIENT,1
536,HT_TIU,,
1424,OTS_P_IOP_LOW,,
942,DCCDISABLE,,
1552,TCM5_SD,,
371,PLD_CCT,,
1748,OSC_ES_LIMIT,,
1393,OTS4_CH_OSNR_SD,,
797,LTITE101,,
1258,LB,,
798,LTITE102,,
953,OSW_E,,
62095,PTP_SLAVE_PORT_SWITCH,,
1935,AGGR_LOOP_ALM,,
3332,MS_ES_LIMIT,,
2307,Atur_15MinLof,,
253,CH_IN_LOS,,
2117,GFP_RDI,ODUk,2
2158,AIS_P,,
2299,MULTI_PORTTEST,,
670,OSC_OOF,,
48,LTIE1_AIS,,
2156,AIS_L,,
3402,MDF,,
2318,NECOMFAIL,,
1627,OTS4_RS232_COMM,,
210,ACALM,,
637,OTN_LASER_CCT,,
2308,Atur_15MinLos,,
60020,ROSW_LOCK_MAIN,,
722,LDL(EOL).,,
232,G1_FAIL,,
1816,CONTEXT_FAIL,,
108,LASER_TCT,,
2565,UPSPEED_THRESHOLD,,
62065,Battery discharge down Volt level,,
666,OSC_OPM,,
2320,Atur_15MinLpr,,
2529,MEM,,
2560,ONU_NGN_SET_FAIL,,
2361,TEMP_HIGH_ALARM(MSAN),,
319,AIS_8M,,
1815,LCLK_LOS,,
141,LTIE1(Hz),,
2588,ETH_PORT_CONGESTION,,
1106,HP_SWR,,
439,CBLORC,,
402,DECODE_FAL,,
2468,ISSUE_ALM,,
2372,E1_AIS(OLD),,
3414,BAT_MISSING,,
16,MFP,,
1598,SCAN_MAN,,
1519,ODU2_AIS,ODUk,2
2485,LOADFUSE,,
3053,RAU_RSL_LOW_ALARM,,
1019,MAIN_NON_ACTIVE,,
42,LASER_CCT,,
29,AIS_T,,
1261,WRNR,,
373,OTALM,,
332,OCPM_COMM,,
60064,BFD_REMOTE_DOWN,,
3356,LOOP_DETECT_ALM,,
2829,IPFRR_LOCK_MAIN,,
370,E14_FAIL,,
1979,LASER_LOS,,
450,SPI_FAIL,,
67,HP_SLU,,
627,CLIENT_RXLOL,,
395,MIDDLE,,
244,WRMUP,,
3401,AIR_CON2,,
3400,AIR_CON1,,
337,RB_V,,
1584,OMS_OLS,,
64,HP_SLM,,
1248,RA,,
1479,LINE_W_LOS,,
1685,TCM1_BIP8_UAS,,
665,MAIN_ILS,,
1433,MAC_ERR,,
305,RF,,
62092,PTP_INPUT_DEGRADATION,,
2531,MIS,,
1664,TCM4_BIP8_SD,ODUk,2
2813,SFP_R_LOS_RECOVER,,
1661,TCM1_BIP8_SD,ODUk,2
1811,SCLK_FAIL,,
61073,OPMACHINE_TEMP_OVER,,
3038,CFM_LOSS_OF_CONTINUITY,,
13,RX,,
1671,TCM3_BIP8_ES_LIMIT,ODUk,2
173,WLOSRCK,,
1901,TRIB_FEC_C_SD,,
62103,PTP_1PPS_TOD_INPUT_DEGRADATION,,
2523,SD,,
238,RF_LIMIT,,
2522,SF,,
2124,BUSALM,,
310,RMT_E,,
1316,OTS2_CH_IOP_LOW,,
669,MAIN_IOP,,
1981,AU_PPJE_ALARM.,,
1448,SW_LOCK,,
2750,F_DISABLE,,
2864,OTS_BDI_O,OTS,6
2865,OTS_BDI_P,OTS,6
2364,TEMP_LOW(MSAN),,
1737,TEMP_HIGH,OMS,5
69,LASERP,OCH,4
1477,L_E1_LOOP,,
2381,PORT_TOTAL_THRESH,,
224,TF,,
1697,TCM5_BEI_ES_LIMIT,ODUk,2
2833,IPFRR_BACKUP_FAULT,,
2712,PON_LINK_LOSS,,
2660,CLOCK_SOURCE_DISSYNC,,
104,V52CO_PR_TIMEOUT,,
524,FEC_C_SD,OTU,3
1823,VEEAlARM-,,
952,OSW_W,,
1426,ROSW_FAIL.,,
85,UA,,
161,RFPE1,,
162,RFPE2,,
62082,DETECTION_OF_BCA_DHCP_DOS_ATTACK,,
106,V52COMM_INT,,
1643,TCM3_AIS,ODUk,2
2613,TEMP_LOW_ALARM,,
1753,MMG,,
60081,ODU_OCI,ODUk,2
1541,TCM3_BEI_SD,ODUk,2
3034,BATTERY_1TEMPRATURE_OVER_THRESHOLD_ALARM,,
294,W_RS_LOF,,
2746,M_BPRODIFS,,
1875,VCLB_LOS,,
3362,SYS_PORT_LOS,,
1650,TCM4_LCK,ODUk,2
2008,M_BCROSDIF_N,,
1305,OTS1_ILS,,
61059,UPGRADE_FAILURE(SODN),,
2687,Command not Authorized,,
2155,RDI_L,,
2157,RDI_P,,
2788,LP_PLM,,
2454,OLT_REGISER_FAILED,,
3340,TX_FORCE_PROTECT,,
61015,Serious defect indication of higher-order channel remote,,
752,LOF_2M,,
1820,ETH_LOC,,
325,RS_SES_LIMIT,,
1513,SM_SD,,
1809,CONFIG_FAIL,,
1850,AGGR_OPU2_RS_ES_LIMIT,,
934,LTIE6-2,,
933,LTIE6-1,,
1891,CLIENT_FEC_D_SD,,
1905,MS_MANUAL_SWITCH,,
2146,LOF_15,,
60068,MON,,
1699,SM_BEI_SES_LIMIT,OTU,3
1405,TX_LOOP_AGSPI,,
2002,M_BSTRURDIF_N,,
2774,ETH_OAM_LT_UNREACHABLE,,
3416,LOAD FUSE_TRIP,,
2009,M_BDCCIRDIF_N,,
726,MS_EXC.,,
60107,CCARD_TIMING_UPGRADE_FAILURE(AC16-NGNE),,
61070,TL1 Log Dumper over,,
1853,CON_FAIL.,,
2640,DOWN_BROARDCAST_FRAMES_OVER_THRESHOLD,,
526,SYNC_LOSS,,
183,TEMP_OVER,,
1432,LCAS_LOM,,
1368,DBL_FAIL,,
1217,PATH_SWR,,
793,ERROR_HW,,
1730,LASER_CUT,,
102,TO_PCT,,
753,DATAPK_ERR,,
470,EXICK12,,
1629,TRIB_LINK_ERR.,,
2312,Lol,,
1772,VS_UNP,,
61066,SUBFRAME SOFTWARE VERSION INCONSISTENT,,
1798,VS_UNM,,
2310,Lop,,
640,CLIENT_LASER_CCT,,
2311,Los,,
1212,RING_FCSERR_PLIMIT,,
860,HP_SD.,,
2491,RECVOLDOWN,,
1861,OTN_PM_TIM,,
678,AIS_34M,,
922,LTIW2-2,,
1181,LOS19MB,,
921,LTIW2-1,,
1180,LOS19MA,,
1249,MRA,,
2501,LOCAL_LOOP,,
2559,PON_PORT_SWITCH_SUCCESS,,
660,SES_LIMIT_T,,
838,CH_OLS_E,,
62020,HFA Input Power Alarm,,
3390,HEAT_EX1 INDOOR FAN,,
2377,SENT_THRESH,,
60071,PUMP_CCT,,
566,RING3_SWR,,
1660,PM_BIP8_SD,ODUk,2
60147,SODN port utilization exceeds the threshold,,
839,CH_OLS_W,,
639,CLIENT_LASER_TCT,,
1408,RPR_SWITCH_MS,,
62089,CODEC_CHIP_INITIAL_FAILED,,
537,HP_UNED,,
1309,DGE_IOP_LOW,,
3073,OPTMODULE_BIAS_OVER_TW,,
1443,CARD_SWITCH,,
65,HP_UNEQ,,
603,FEC_FDI,,
61024,Instructions from ODU1 alarm,,
2804,PW_NUM_LIMIT,,
61058,SLV_FIRWARE_VERSION_NOT_MATCH,,
1409,RPR_SWITCH_FS,,
1254,HP_EXC.,,
62023,HFA Temperature Alarm,,
3322,TCM1_EXC,,
1468,LD_OFF,,
765,PWRB_VEEALM,,
1009,AGGR_LDOFF,,
2355,L2_AUXPROTECT,,
2128,FEALM,,
2349,V5OOS,,
1888,LP_CSES_LIMIT,,
2478,ENV_TEMP_OVER,,
2288,ATUR_PERF_ESS_THRESH_TRAP,,
60075,PUMP_TCT,,
1059,LTITW5-2,,
2006,M_BCTRDIF_N,,
2695,KEYPROCESS_CPU_OVER_THRESHOLD,,
492,RMT_T,,
1139,OSW3_LOCK,,
1058,LTITW5-1,,
2153,LOS_CORE,,
2767,ERPS_SWR,,
60037,ODU1_OOM,,
1256,EER,,
60040,ODU1_OOF,,
62061,PON_MAIN_FIBER_CHANNEL_INFERIOR,,
532,V52CO_P_PERR,,
692,INLOS,,
190,SWTR,ODUk,2
634,CLIENT_IOP,,
1400,RX_LOOP_MAPSPI,,
2024,M_BSWITCHDIF_N,,
1866,OTN_FEC_C_SD,,
1605,OTS1_ADJUST_ERR,,
2671,Unauth_ONU,,
328,PLD-BCT,,
1051,LTITE9-2,,
60145,Service group is being switched,,
1050,LTITE9-1,,
2785,BOARD_MECH_ELEC_ABNOR,,
2479,ARRESTBRK,,
2321,Atur_15MinESs,,
1382,OTS3_IOP_LOW,,
22,EXICK34,,
1419,HP_BE.,,
622,CLIENT_LDAUTOOFF,,
989,ERR6_02,,
62112,Battery bunker door alarm,,
1740,WAV_EXC,OTS,6
1895,VS_SD,,
303,MS_EXC,,
1896,VS_SF,,
693,INLOF,,
988,ERR6_01,,
60050,ODU2_OPU1_TS1_ MISMATCH,,
60059,EXER_SWITCH_SUCCESS,,
1175,I_POLI,,
1724,OTU3_AIS,,
1447,OSW_LOCK,,
1379,OTS4_ILS,,
914,HP_SES_LIMIT,,
1326,OTS2_CH_OSNR_SD,,
1534,TCM2_SD,,
3455,BAT VOLT UNDER,,
1187,CRC_E1,,
3424,MONIT_CONTR_LINK_FAIL,,
2235,RDI11,,
60017,TOSW_FORCE_MAIN,,
2239,RDI15,,
2266,CPU_INVERSION_SUCCESSFUL,,
2238,RDI14,,
784,OSC_EXC,,
2237,RDI13,,
2236,RDI12,,
2243,RDI19,,
2242,RDI18,,
2241,RDI17,,
3044,OPTLOSS_HIGH_WARNING,,
2240,RDI16,,
60014,FORCE_MAIN,OTS,6
1922,LOOP_ALM,ODUk,2
309,R_PPSB_LOS,,
60096,CES_LOFS,,
1278,LOCK_MAIN,,
1446,E155/E4_CARD_SWR,,
1071,LTITW7-2,,
1070,LTITW7-1,,
435,SDH_LOF,,
1545,TCM4_BDI,ODUk,2
1877,VSLB_LOS,,
139,LOCKH,,
62084,DETECTION_OF_TCP_SYN_DOS_ATTACK,,
1194,LIF_LOOPT,,
1300,SWITCH_LOOP,,
2037,RCONTEXT_ACCESS_FAIL,,
2394,US_CLIENT_2_ERR_THRESH,,
1494,DROP_OLS,,
1936,TRIB_LOOP_ALM,,
1193,LIF_LOOPL,,
1608,OTS4_ADJUST_ERR,,
875,TRIB_OPM_HIGH,,
2702,LACP_LINK_DOWN,,
1041,CH1_RLOS,,
1284,OSCLOS_W,,
3327,PM_EXC,,
1356,LP_BBE_LIMIT,,
2071,READ_ENVIRONMENT_TEMP_FAIL,,
2617,PASSWORD_CONFLICT,,
2606,TEMP_HIGH_WARNING,,
259,SPARETRALM,,
877,GROUP_IOP_LOW,,
2255,RDI33,,
2254,RDI32,,
3403,HEATER,,
698,IOP_LOW,OTS,6
2253,RDI31,,
2259,RDI37,,
2258,RDI36,,
2257,RDI35,,
2256,RDI34,,
282,TU_LOM,,
1609,OSW_FORBIDED,,
39,TU_LOP,,
372,Q_V_ABNL,,
2260,RDI38,,
62057,Rectifier Capacity threshold alarm,,
1399,TX_LOOP_MAPMAC,,
386,LOOPL(T),,
1046,TRIB_IOP_HIGH,,
2246,RDI22,,
2245,RDI21,,
2244,RDI20,,
2250,RDI26,,
2249,RDI25,,
2248,RDI24,,
2247,RDI23,,
1121,SHDSL_S/N_LIMIT,,
2252,RDI28,,
2251,RDI27,,
3460,RECITIF MODULE_DC CURR OVER,,
1324,DGE_CH_OSNR_SD,,
1257,CHLB,,
3333,AU_PPJE_LIMIT,,
866,GROUP_TF,,
767,NSCKL,,
2856,OMS_LOS_P,,
62099,PTP_TOTAL_OFFSET_OVERFLOW,,
212,PFA2,,
468,LD_LIFE,,
211,PFA1,,
2095,CLOCK_A_FP,,
2844,M_BAREAKEYDIF,,
214,PFA4,,
213,PFA3,,
216,PFA6,,
2611,INNER_TEMP_LOW(ONU),,
215,PFA5,,
2010,M_BDCCSFDIF_N,,
2867,OTS_BDI,,
61002,Ne Log Dumper over,,
890,TRIB_EOL,,
1398,E1_BUG,,
3358,CFG_EXC,,
1283,OSCLOS_E,,
1658,TCM6_OCI,ODUk,2
2852,MODULE_DC_OVER_VOLT_CLOSE,,
2486,ACMAINFAIL,,
2825,LSP_1B1_NUM_LIMIT,,
1663,TCM3_BIP8_SD,ODUk,2
2354,L2_PROTECT,,
2689,ODN_PORT_LINK_UP,,
138,LOCKL,,
234,TU3_LOP,,
1454,Fdisable,,
62083,DETECTION_OF_IGMP_DOS_ATTACK,,
1033,RF_UF,,
1156,LTILINE4,,
340,LDTEMP,,
1155,LTILINE3,,
1154,LTILINE2,,
1153,LTILINE1,,
1668,PM_BIP8_ES_LIMIT,ODUk,2
552,EOL,,
1160,LTILINE8,,
1159,LTILINE7,,
1158,LTILINE6,,
1157,LTILINE5,,
2421,SLOT_INITSUCCESS_TRAP,,
968,CH2_TSW,,
2106,CHIP1_TEMP,,
2802,FL_IPV6_BOTH,,
61032,MPLS-TP virtual path interval mismatch,,
607,HP_SD,,
1349,LP_UNEQ.,,
326,SLIP_E,,
2285,ATUR_PERF_LOFS_THRESH_TRAP,,
61050,PTP_HOLD_ALM,,
61052,DCVOLDOWN_WARNING,,
2515,ONU Env. Temp,,
60103,Unexpect MEG ID,,
3461,RECITIF MODULE_TEMP OVER,,
62024,HFA Pump1 Current Alarm,,
1894,CLIENT_PM_C_SD,,
713,OSC_AIS.,,
261,LIS_2M,,
1126,SHDSL_UAS,,
1473,R_OPT_OOF,,
385,MUXFAULT,,
2621,UP_BIP8_OVER_THRESH_ALARM,,
285,WORK_ER,,
2413,EQUIPMENT_TYPE_MISMATCH,,
1114,SHDSL_LOS,,
2585,EQUIPMENT_CAPABILITY_MISMATCH,,
383,DOOR_OPEN,,
179,LDPALM,,
1564,RS_SDH_TIM,,
1518,ODU1_OCI,ODUk,2
848,OSW1_FAIL,,
2683,Performance History Lost,,
896,TRIB_RS_UAS,,
1868,OTN_PM_C_SD,,
1508,TRIB_GFP_CSF,,
781,OSC_2M1_AIS,,
2700,BATTERY_HUM_OVER,,
2792,V4_ARP_EXC,,
2408,SLOT_INITSUCCESS,,
1313,OTS1_IOP_LOW,,
1481,LINE_W_FAULT,,
1505,TRIB_GFP_LFD,,
1592,VCG_FAIL,,
981,NSCLK,,
62013,LOA_TW,,
869,TRIB_RS_LOF,,
320,ETF,,
944,OCH_EQ,,
1452,OOP_HIGH,OTS,6
2042,LIGHTNING_PRO_FAIL,,
907,LTIE_Hz,,
2703,XG_OPTMODULE_BIAS_OVER,,
1351,TU_PPJE_ALARM,,
2693,POWER_LOW_48V,,
621,CLIENT_LDMANOFF,,
2757,DISK_USE_PER_OVER,,
943,OSWST.,,
570,RING7_SWR,,
1710,TCM2_BEI_UAS,,
105,V52CO_PR_L3ERR,,
365,WEST_P,,
430,CBLOF,,
2801,FL_IPV6_ONE,,
3393,HEAT_EX2 OUTDOOR FAN,,
1670,TCM2_BIP8_ES_LIMIT,,
3061,ODU_RSL_HIGH_ALARM,,
1921,RLOS,OTS,6
700,SDH_SES_LIMIT,,
1531,TCM1_LTC,ODUk,2
659,ES_LIMIT_T,,
1219,TX_SFI5_SKEW,,
1836,LOCK_WORK,,
60083,OPU_PLM,ODUk,2
701,SDH_UAS,,
901,GROUP_MS_SES_LIMIT,,
1289,MAINL_IOP_LOW,,
3429,HUMIDITY1 OVER,,
684,SDH_LOS,,
699,SDH_ES_LIMIT,,
60093,FRR_SWTR,,
1525,PM_LINK_REQUEST,,
1954,PTP_PORT_ALM,,
1766,VS_LOC,,
599,CAR_ERR,,
1984,GELOOPL,,
1288,BACK_L_ILS,,
1020,EXERCISE_SUCCESS,,
1916,VC_SD,,
1083,HP_RDI_S/C,,
60144,Service group is offline,,
62109,TRANS_RESOURCE_SERVER_EXCEPTION,,
1947,M_SDCCDIF,,
1917,VC_SF,,
1082,POWERALM-5V,,
264,W_IN_LOS,,
1574,OCH_IOP_LOW_P,,
59,HP_AIS,,
1789,VC_AIS,,
1620,M_BDCCIRDIF,,
1573,OCH_IOP_LOW_W,,
3072,OPTMODULE_VOL_OVER_TW,,
336,INSOC,,
586,I_LOS,,
652,OS_SD,,
2284,ATUC_INIT_FAILURE_TRAP,,
3385,FIRE,,
182,VLIMIT,,
1855,SM_TIM.,,
1480,LINE_P_LOS,,
1654,TCM2_OCI,ODUk,2
963,CH1_RSW,,
2518,Illegal user operate,,
706,HP_TIU.,,
2742,M_BPRODIF,,
2685,User Login Failed three times,,
490,GDATA_ERROR,,
588,AIS_MS,,
2845,RECT_MODULE_FAULT,,
61001,System Log Dumper over,,
1225,BAK_XCU_ALARM,,
3083,TEMP_LOW_ALARM_TW,,
1224,MAIN_XCU_ALARM,,
2105,CHIP3_LOS,,
188,USERDEF,,
1172,FC_IOVF,,
1802,VS_LCK,,
2651,UP_OVER_SIZE_FRAMES_OVER_THRESHOLD_WARNING,,
60060,EXER_SWITCH_FAIL,OCH,4
1969,DCCABORT_R,,
1972,DCCABORT_M,,
2854,MODULE_AC_POWER_FAIL,,
547,RS_EXC,,
1024,TC_APIM,,
3062,LINK8_BER_ALARM,,
60143,Service group has faulted,,
1614,M_BMCFRDIF,,
1885,MS_CSES_LIMIT,,
696,SDH_TIM,,
1495,EXP_ILS,,
1385,OTS4_CH_IOP_LOW,,
1602,OTS2_RECOG_ERR,,
1844,AGGR_SM_TIM,,
1960,E1_LOOPL,,
1882,OA_CCT,,
1451,OOP_LOW,OTS,6
2537,STANDBY_POWER_INPUT_FAIL,,
2231,RDI5,,
2232,RDI6,,
2229,RDI3,,
2230,RDI4,,
2227,RDI1,,
2228,RDI2,,
835,OTN_LASERP.,,
1315,OTS2_IOP_LOW,,
2815,MAIN_SUB_PASS_ALM,,
62033,Fan Temperature Alarm,,
61054,ENV_TEMP_DOWN_WARNING,,
61062,SUBFRAME LOCATION CHANGE,,
1091,MS_PROT_LOCK,,
3462,STORAGECARD_FAIL,,
401,EDFA1_NO_OUTPUT,,
2062,FCS_ERR,,
112,CH_ILS,,
917,LTIW1-1,,
987,ERR3_02,,
986,ERR3_01,,
1455,REMOTE_LOOPTEST,,
2359,DCV_LOW,,
2463,OPTMODULE_RXPOWER_OVER,,
1667,SM_BIP8_ES_LIMIT,OTU,3
1394,OTS3_FPL,,
1501,OCH_BLOCK,,
1708,PM_BEI_UAS,,
2734,TCM4_SSF,ODUk,2
268,OX_DATA,,
585,OM_OD_TEMP,,
2233,RDI7,,
2234,RDI8,,
1765,LSYN_LOC,,
1167,PHY_TOVF,,
1512,SM_BDI,OTU,3
778,OSC_2M2_LOS,,
2399,GateTimeout,,
60043,ODU0_LOF,,
1812,2M_LOS,,
1358,CFG_MISMATCH.,,
60042,ODU0_LOM,,
2003,M_BMCFRDIF_N,,
918,LTIW1-2,,
62073,Battery Cell discharge volt down,,
438,LD_I_HIGH,,
2525,RDI(OLD),,
61025,The ODU1 connection is locked,,
2078,GMP_SD,,
2459,OPTMODULE_TEMP_OVER,,
3348,TX_P_TO_W,,
61030,MPLS-TP imaginary time interval mismatch,,
1595,BKIP_ERR,,
2765,FLOW_LOW,,
3381,ARP_BACKUP_FAIL,,
2026,ADC_ALM,,
45,COMEBRK,,
60097,E1_CRC,,
977,RING6_SWR.,,
2795,V6_R_EXC,,
3066,LINK4_BER_ALARM,,
60004,PM_THRESHOLD_MINOR,,
495,GCTRL_ERROR,,
2112,FAIL,OTS,6
1840,AGGR_ODTU23_FEC_LOF,,
114,ASICE,,
302,RB_TEMP,,
2691,POWER_LACK,,
2344,E1_LFA,,
1787,FDI,OCH,4
3443,HEAT_EX1 VOLT OVER,,
1770,HP_PPJE_ALARM,,
972,MAIN_MON_ACTIVE,,
2575,TIME_LOSS,,
1323,OTS2_CH_WAV_EX,,
2054,TOD_CRC_ERR,,
86,NUA,,
366,FALM,,
2655,UP_OCTETS_TRANSFERRED_OVER_THRESHOLD_WARNING,,
1756,PM_OCI,ODUk,2
1686,TCM2_BIP8_UAS,,
317,OP_LIMIT,,
1994,ETHLB_LOS.,,
109,CH_IOP,,
2476,OVERCURRE,,
1911,ALM_BACKUP_CH,,
2652,UP_OVER_SIZE_FRAMES_OVER_THRESHOLD,,
60086,BPORT_LOF,,
1000,AGGR_RS_SD,,
3328,OTU_EXC,,
60087,BPORT_LOS,,
245,WORK_WR,,
1567,LASER_OPM_HIGH.,,
62088,DETECTION_OF_UDP_DOS_ATTACK,,
2035,ODU0_LCK,ODUk,2
62060,BETWEEN_CARDS_CRC_ OVER_THRESHOLD,,
1142,T_LCD,,
378,SREF_FAIL,,
60120,DEACTIVATE_FAIL,,
62096,PTP_GM_CLOCK_SWITCH,,
14,LD_TEMP_H,,
1506,TRIB_GFP_SD,,
1761,PCS_ENCODERR_SD,CLIENT,1
1265,BLOCK,,
1920,RCONTEXT_PACKET_LOS,,
3075,LOAD_MODE_MISMATCH,,
249,PALM1,,
1197,XGXS_LOOPRT,,
3388,FAN1,,
3412,AC CIRCUIT_BREAKER TRIP,,
3389,FAN2,,
533,V52CO_PS_TIMEOUT,,
270,PALM2,,
2426,CRC_THRESHOLD,,
2784,K60_COM_ABNORMAL,,
1702,TCM2_BEI_SES_LIMIT,ODUk,2
60128,OMCI_CHANNEL_LOS,,
1762,OMS_PMI,OTS,6
1808,PORT_MIRROR,,
1038,HP_REI,,
7,HP_RDI,,
1745,MANUAL_CONTROL,OTS,6
60124,CCM XCon,,
961,ROSW_FAIL,,
2786,E1_RMFAI,,
734,CH2_MAIN_SUB,,
788,DCCABORT,,
3360,MCAST_LIMIT,,
2692,LINK_ID_ERROR,,
62062,UP_CRC_RATIO_ OVER_THRESHOLD,,
859,LASER_OPM_HIGH,,
535,V52CO_BC_TIMEOUT,,
1198,XGXS_LOOPTX,,
1250,CRCMRA,,
2494,HEATFAIL,,
2629,UP_UNICAST_FRAMES_OVER_THRESHOLD_WARNING,,
2720,BMU_ABNORMAL,,
3366,PDP_LIGHTNING_FAIL,,
978,RING7_SWR.,,
2196,LCD4,,
2195,LCD3,,
2194,LCD2,,
2193,LCD1,,
2200,LCD8,,
1339,GFP_CSF,ODUk,2
2199,LCD7,,
2615,UP_SPEED_OVER_THRESHOLD,,
1646,TCM6_AIS,ODUk,2
2198,LCD6,,
2197,LCD5,,
809,LTITE31,,
810,LTITE32,,
62053,HEATEX_INTRAN_FAULT,,
1205,RING_RX_TTL0_BLIMIT,,
2759,ODU_PULL,,
3050,RAU_FAULT,,
2524,LCDG,,
1370,NBR_DOWN,,
2519,local User operate log,,
518,LTIT32,,
1166,MISS_ROUTE,,
514,LTIT30,,
516,LTIT31,,
580,VP_P,,
61016,High-level channel remote connection type defect indication,,
62107,DELAY_RESP_RX_TIMEOUT,,
126,V52LCERR,,
812,LTITE42,,
1720,CARD_TCT,,
99,OSC_SD,,
1467,BACKUP_DOWN,,
1932,WRAP_SWITCH,,
811,LTITE41,,
1548,TCM4_LINK_REQUEST,,
1359,SDH_E1,,
1860,OTN_FEC_LOF,,
1244,FLA,,
2758,LOS_LOCK,,
489,LTIT21,,
2374,TOO_SHORT_THRESH,,
493,LTIT22,,
60076,OTU_AIS,OTU,3
26,LTIT20,,
1967,EMU_FAULT,,
501,LTIT25,,
503,LTIT26,,
496,LTIT23,,
2011,FAIL_P,,
498,LTIT24,,
512,LTIT29,,
2616,DOWN_SPEED_OVER_THRESHOLD,,
506,LTIT27,,
509,LTIT28,,
1752,LSP_RDI,,
3084,NBI_STATUS_EXCEPTION,,
2589,E1_TIMING_UNLOCK,,
2729,OTU4_SSF,OTU,3
242,LFA_34M,,
2477,HUM_OVER,,
1589,GFP_TSF,,
1374,POWERALM_R,,
454,LTIT10,,
460,LTIT11,,
237,MAINTRALM,,
20,LTIT14,,
472,LTIT15,,
464,LTIT12,,
467,LTIT13,,
24,LTIT18,,
2140,LOS_OE3,,
483,LTIT19,,
1930,WRAP_LOCK_WORK,,
2141,LOS_OE4,,
474,LTIT16,,
2290,LOS_OE1,,
23,LTIT17,,
2291,LOS_OE2,,
233,RUPH_LMAN,,
2798,MACL_EXC,,
2138,LOS_OE5,,
2139,LOS_OE6,,
230,CTANK,,
1903,TRIB_SM_C_SD,,
2336,duplicateMacRegistration,,
2222,LCD34,,
2223,LCD35,,
2220,LCD32,,
2221,LCD33,,
2656,UP_OCTETS_TRANSFERRED_OVER_THRESHOLD_ALARM,,
2219,LCD31,,
447,GTOUTA_FAIL,,
1793,VC_MMG,,
1902,TRIB_FEC_FDI,,
1206,RING_RX_OSZ_PLIMIT,,
1632,10GE_SD,,
3387,SURGE PROTECT,,
307,Q_TEMP,,
1565,LDOFF,,
2226,LCD38,,
2224,LCD36,,
2225,LCD37,,
1376,FPGAALM,,
2144,FOI,,
1601,OTS1_RECOG_ERR,,
1276,NODE_FAIL,,
397,OLOS,,
62011,RDI_TW,,
1721,PACKET_SD,CLIENT,1
2783,HIT_ALM,,
2555,UNEXPECT_PERIOD,,
1502,LTI.,,
1097,LTI4,,
1096,LTI3,,
1095,LTI2,,
1094,LTI1,,
676,LOS_8M,,
